date,contract,contract month(Week),open,high,low,last,Change,%,Volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low,trading_halt,Trading Session,Volume(executions among spread order and single order only)
2025/03/26,TX,202504  ,22310,22397,22298,22369,68,0.30%,32439,-,-,22362,22369,23867,21671,,After-Hours,,
2025/03/26,TX,202505  ,22424,22444,22274,22330,11,0.05%,498,22326,861,22322,22330,23821,21718,,Regular,,
2025/03/26,TX,202505  ,22331,22415,22322,22395,76,0.34%,362,-,-,22381,22392,23821,21718,,After-Hours,,
2025/03/26,TX,202506  ,22439,22439,22270,22312,6,0.03%,49,22312,531,22310,22318,24547,19133,,Regular,,
2025/03/26,TX,202506  ,22335,22402,22322,22383,77,0.35%,40,-,-,22369,22380,24547,19133,,After-Hours,,
2025/03/26,TX,202509  ,22150,22150,22036,22036,-13,-0.06%,18,22036,734,22041,22049,23902,21377,,Regular,,
2025/03/26,TX,202509  ,22081,22081,22081,22081,32,0.15%,1,-,-,22102,22114,23902,21377,,After-Hours,,
2025/03/26,TX,202512  ,22134,22148,22000,22054,9,0.04%,6,22054,249,22042,22052,24048,21668,,Regular,,
2025/03/26,TX,202512  ,22068,22068,22068,22068,23,0.10%,2,-,-,22099,22114,24048,21668,,After-Hours,,
2025/03/26,TX,202603  ,22125,22125,22082,22082,22,0.10%,2,22067,70,22061,22074,22263,21918,,Regular,,
2025/03/26,TX,202603  ,22076,22098,22076,22098,38,0.17%,2,-,-,22121,22140,22263,21918,,After-Hours,,
2025/03/27,TX,202504  ,22031,22052,21891,21968,-336,-1.51%,60620,21971,77260,21967,21970,23867,21671,,Regular,,
2025/03/27,TX,202504  ,22305,22315,21970,22045,-259,-1.16%,50049,-,-,22045,22051,23867,21671,,After-Hours,,
2025/03/27,TX,202505  ,22045,22073,21919,21998,-328,-1.47%,567,21998,1123,21992,21998,23821,21718,,Regular,,
2025/03/27,TX,202505  ,22326,22334,21997,22072,-254,-1.14%,881,-,-,22069,22077,23821,21718,,After-Hours,,
2025/03/27,TX,202506  ,22066,22066,21917,21952,-360,-1.61%,125,21980,543,21977,21984,24547,19133,,Regular,,
2025/03/27,TX,202506  ,22315,22315,21990,22050,-262,-1.17%,78,-,-,22059,22071,24547,19133,,After-Hours,,
2025/03/27,TX,202509  ,21799,21800,21659,21680,-356,-1.62%,29,21715,742,21712,21718,23902,21377,,Regular,,
2025/03/27,TX,202509  ,22016,22016,21755,21781,-255,-1.16%,24,-,-,21796,21808,23902,21377,,After-Hours,,
2025/03/27,TX,202512  ,21782,21782,21680,21689,-365,-1.66%,22,21723,277,21717,21729,24048,21668,,Regular,,
2025/03/27,TX,202512  ,21990,22005,21772,21772,-282,-1.28%,48,-,-,21798,21814,24048,21668,,After-Hours,,
